timestamp,date,task,risk,estimated_tokens,status,engram_available,notes
2026-04-14T18:06:56-03:00,2026-04-14,end-session,high,3500,PASS,True,projected_pct=2.92
2026-04-14T18:06:56-03:00,2026-04-14,review,high,3200,PASS,True,projected_pct=5.58
2026-04-14T18:06:56-03:00,2026-04-14,audit,medium,2200,PASS,True,projected_pct=7.42
2026-04-14T19:34:42-03:00,2026-04-14,review,high,3200,PASS,True,projected_pct=10.08
2026-04-14T19:34:43-03:00,2026-04-14,audit,medium,2200,PASS,True,projected_pct=11.92
2026-04-14T19:36:06-03:00,2026-04-14,review,high,3200,PASS,True,projected_pct=14.58
2026-04-14T19:36:06-03:00,2026-04-14,audit,medium,2200,PASS,True,projected_pct=16.42
2026-04-14T20:19:39-03:00,2026-04-14,end-session,medium,1800,PASS,True,projected_pct=17.92
2026-04-14T20:19:39-03:00,2026-04-14,review,high,3200,PASS,True,projected_pct=20.58
2026-04-14T20:19:39-03:00,2026-04-14,audit,medium,2200,PASS,True,projected_pct=22.42
2026-04-14T20:19:53-03:00,2026-04-14,end-session,high,3500,PASS,True,projected_pct=25.33
2026-04-14T20:19:53-03:00,2026-04-14,review,high,3200,PASS,True,projected_pct=28
2026-04-14T20:19:53-03:00,2026-04-14,audit,medium,2200,PASS,True,projected_pct=29.83
2026-04-15T19:33:16-03:00,2026-04-15,end-session,high,3500,PASS,True,projected_pct=2.92
2026-04-15T19:33:41-03:00,2026-04-15,end-session,high,3500,PASS,True,projected_pct=5.83
2026-04-15T19:33:55-03:00,2026-04-15,audit,medium,2200,PASS,True,projected_pct=7.67
2026-04-15T19:35:04-03:00,2026-04-15,audit,medium,2200,PASS,True,projected_pct=9.5
2026-04-15T19:35:56-03:00,2026-04-15,audit,medium,2200,PASS,True,projected_pct=11.33
2026-04-15T19:37:12-03:00,2026-04-15,end-session,high,3500,PASS,True,projected_pct=14.25
2026-04-15T19:37:12-03:00,2026-04-15,audit,medium,2200,PASS,True,projected_pct=16.08
2026-04-15T20:23:22-03:00,2026-04-15,audit,medium,2200,PASS,True,projected_pct=17.92
2026-04-17T12:55:46-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=1.83
2026-04-17T12:55:59-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=3.67
2026-04-17T12:56:05-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=5.5
2026-04-17T12:57:57-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=7.33
2026-04-17T14:01:48-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=9.17
2026-04-17T14:01:57-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=11
2026-04-17T14:02:01-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=12.83
2026-04-17T14:03:37-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=14.67
2026-04-17T14:03:38-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=16.5
2026-04-17T14:12:54-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=18.33
2026-04-17T14:12:57-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=20.17
2026-04-17T14:13:26-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=22
2026-04-17T14:13:31-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=23.83
2026-04-17T14:13:41-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=25.67
2026-04-17T14:13:55-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=27.5
2026-04-17T15:47:25-03:00,2026-04-17,end-session,high,3500,PASS,True,projected_pct=30.42
2026-04-17T15:47:26-03:00,2026-04-17,audit,medium,2200,PASS,True,projected_pct=32.25
2026-04-19T23:15:52-03:00,2026-04-19,end-session,medium,1800,PASS,True,projected_pct=1.5
2026-04-19T23:16:09-03:00,2026-04-19,audit,medium,2200,PASS,True,projected_pct=3.33
2026-04-19T23:29:51-03:00,2026-04-19,end-session,medium,1800,PASS,True,projected_pct=4.83
2026-04-19T23:30:03-03:00,2026-04-19,audit,medium,2200,PASS,True,projected_pct=6.67
2026-04-20T01:27:45-03:00,2026-04-20,end-session,medium,1800,PASS,True,projected_pct=1.5
2026-04-20T01:28:02-03:00,2026-04-20,audit,medium,2200,PASS,True,projected_pct=3.33
2026-04-20T10:50:15-03:00,2026-04-20,compact-start,medium,1558,PASS,True,projected_pct=4.63
2026-04-20T19:30:42-03:00,2026-04-20,audit,medium,2200,PASS,True,projected_pct=6.46
2026-04-20T19:49:18-03:00,2026-04-20,audit,medium,2200,PASS,True,projected_pct=8.3
2026-04-20T19:53:49-03:00,2026-04-20,audit,medium,2200,PASS,True,projected_pct=10.13
2026-04-20T19:55:10-03:00,2026-04-20,audit,medium,2200,PASS,True,projected_pct=11.96
2026-04-20T20:10:15-03:00,2026-04-20,audit,medium,2200,PASS,True,projected_pct=13.8
2026-04-21T00:29:01-03:00,2026-04-21,context-pack,medium,1200,PASS,True,projected_pct=1
2026-04-21T00:29:10-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=2.83
2026-04-21T00:33:10-03:00,2026-04-21,compact-start,medium,1560,PASS,True,projected_pct=4.13
2026-04-21T01:02:38-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=5.97
2026-04-21T01:04:20-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=7.8
2026-04-21T01:04:28-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=9.63
2026-04-21T22:21:21-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=11.47
2026-04-21T23:45:24-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=13.3
2026-04-21T23:46:04-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=15.13
2026-04-21T23:46:26-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=16.97
2026-04-21T23:47:51-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=18.8
2026-04-21T23:52:20-03:00,2026-04-21,audit,medium,2200,PASS,True,projected_pct=20.63
2026-04-22T01:19:08-03:00,2026-04-22,audit,medium,2200,PASS,True,projected_pct=1.83
